feature,chi2,p,n_target,n_reference
team,0.49572336147271645,0.4813852916042527,175,0
assembly,0.49321252177516656,0.482497761139961,460,0
troops,0.49321252177516656,0.482497761139961,460,0
artillery,0.4928898470914438,0.4826410341085554,174,0
objects,0.4928898470914438,0.4826410341085554,174,0
propaganda,0.4928898470914438,0.4826410341085554,174,0
residents,0.4928898470914438,0.4826410341085554,174,0
restore,0.4928898470914438,0.4826410341085554,174,0
cause,0.4900563420169361,0.4839021726419904,173,0
regarding,0.4900563420169361,0.4839021726419904,173,0
create,0.4872228462491474,0.4851687514242591,172,0
devastating,0.4872228462491474,0.4851687514242591,172,0
due,0.4872228462491474,0.4851687514242591,172,0
impunity,0.4872228462491474,0.4851687514242591,172,0
occupation,0.4872228462491474,0.4851687514242591,172,0
eastern,0.4869868013513119,0.4852745110740513,930,1
focus,0.484389359788032,0.48644081529258687,171,0
mass,0.48155588263354393,0.48771840971415903,170,0
site,0.48155588263354393,0.48771840971415903,170,0
strong,0.48155588263354393,0.48771840971415903,170,0
whole,0.48155588263354393,0.48771840971415903,170,0
activities,0.4787224147856374,0.48900158079888256,169,0
began,0.4787224147856374,0.48900158079888256,169,0
brazil,0.4787224147856374,0.48900158079888256,169,0
supporting,0.4787224147856374,0.48900158079888256,169,0
relief,0.47588895624426647,0.49029037531248576,168,0
especially,0.4739525880998102,0.4911743910392248,452,0
know,0.4739525880998102,0.4911743910392248,452,0
constitute,0.4730555070093854,0.49158484068996533,167,0
implemented,0.4730555070093854,0.49158484068996533,167,0
secondly,0.4730555070093854,0.49158484068996533,167,0
exercise,0.47022206708094827,0.4928850250493949,166,0
language,0.47022206708094827,0.4928850250493949,166,0
tragic,0.47022206708094827,0.4928850250493949,166,0
announced,0.46738863645890927,0.4941909772061033,165,0
joint,0.46738863645890927,0.4941909772061033,165,0
latest,0.46738863645890927,0.4941909772061033,165,0
sexual,0.46676164941111165,0.49448074573283396,449,0
presidency,0.4645552151432225,0.49550274668723726,164,0
aid,0.4619775233561811,0.4967012223872843,447,0
memorandum,0.4617218031338422,0.4968203837467221,163,0
monitors,0.4617218031338422,0.4968203837467221,163,0
started,0.4617218031338422,0.4968203837467221,163,0
continued,0.45958844974692764,0.49781637454133565,446,0
loss,0.45888840043072243,0.4981439393806312,162,0
unity,0.45888840043072243,0.4981439393806312,162,0
unprovoked,0.45888840043072243,0.4981439393806312,162,0
consider,0.45605500703381735,0.49947346534297976,161,0
fire,0.45605500703381735,0.49947346534297976,161,0
respond,0.45605500703381735,0.49947346534297976,161,0
community,0.4547457091340247,0.5000898659757661,913,1
change,0.45322162294308116,0.5008090141619572,160,0
markets,0.45322162294308116,0.5008090141619572,160,0
moment,0.45322162294308116,0.5008090141619572,160,0
issue,0.4524333477895159,0.5011816557579084,443,0
thank,0.4523737149188818,0.5012098652073693,1347,2
$,0.45038824815846795,0.5021506391566137,159,0
ask,0.45038824815846795,0.5021506391566137,159,0
common,0.45038824815846795,0.5021506391566137,159,0
conflicts,0.45038824815846795,0.5021506391566137,159,0
different,0.45038824815846795,0.5021506391566137,159,0
visit,0.45038824815846795,0.5021506391566137,159,0
appeal,0.44755488267993193,0.5034983944540138,158,0
collective,0.44755488267993193,0.5034983944540138,158,0
rosemary,0.44755488267993193,0.5034983944540138,158,0
ago,0.44529671200341103,0.5045769748723674,440,0
condemns,0.44472152650742725,0.5048523350068775,157,0
director,0.44472152650742725,0.5048523350068775,157,0
deliberate,0.44188817964090804,0.5062125166117227,156,0
october,0.44188817964090804,0.5062125166117227,156,0
targeted,0.44188817964090804,0.5062125166117227,156,0
communities,0.4390548420803284,0.5075789959275278,155,0
democratic,0.4390548420803284,0.5075789959275278,155,0
going,0.4390548420803284,0.5075789959275278,155,0
look,0.4390548420803284,0.5075789959275278,155,0
populations,0.4390548420803284,0.5075789959275278,155,0
cross,0.4362215138256426,0.5089518304949316,154,0
january,0.4362215138256426,0.5089518304949316,154,0
dicarlo,0.4334443879394089,0.5103036614359986,435,0
