country,cluster,degree
Norway,1,19
Ireland,1,17
Lithuania,1,15
Estonia,1,14
Latvia,1,14
Malta,1,14
Albania,1,13
European Union,1,13
United Kingdom Of Great Britain And Northern Ireland,1,13
France,1,12
United States Of America,1,12
Ukraine,1,10
Germany,1,8
Japan,1,8
Italy,1,7
Poland,1,6
Romania,1,1
Russian Federation,1,1
Slovak Republic,1,1
United Arab Emirates,2,11
Ghana,2,10
Mexico,2,9
Brazil,2,7
Ecuador,2,6
Gabon,2,6
Switzerland,2,6
Kenya,2,4
China,2,2
Mozambique,2,2
India,2,1
