feature,chi2,p,n_target,n_reference
defeat,20.06902465469461,7.469673850679648e-6,34,0
children,19.540709024162222,9.847851923150408e-6,837,376
european,19.480691886900836,1.0162172080052656e-5,193,60
systematic,19.41912880198642,1.0495058680892733e-5,41,2
single,19.3623612666743,1.081171070671516e-5,37,1
second,18.87569619127943,1.395189180319889e-5,97,21
wants,18.83825668374495,1.4228439996322173e-5,40,2
rape,18.693661399013443,1.5349188198898744e-5,66,10
trying,18.693661399013443,1.5349188198898744e-5,66,10
genocide,18.509942804652635,1.6902025975484847e-5,50,5
everyone,18.33059622953018,1.8570068223477953e-5,74,13
iran,18.298005665142103,1.889048277126104e-5,31,0
troops,18.0753117430212,2.123368754269883e-5,152,44
us,18.03470743141508,2.169140364627342e-5,402,160
want,17.987090441175503,2.2240816470731062e-5,175,54
self-defence,17.877354349704532,2.356080737098143e-5,42,3
accountability,17.844628184250784,2.3969496294462544e-5,170,52
waging,17.70767558146736,2.575851277963892e-5,30,0
rules-based,17.67795026309132,2.616420540635378e-5,38,2
forcibly,17.652442034150443,2.651745839155062e-5,61,9
left,17.591613416707855,2.7379313323194765e-5,107,26
shelling,17.52200493097413,2.8400162106700932e-5,94,21
foreign,17.436943709395887,2.9699717134623604e-5,124,33
deliberate,17.350772674407875,3.1077189464379096e-5,91,20
air,17.345572835384928,3.1162335686563125e-5,72,13
documented,17.30647124124442,3.1810171570612056e-5,41,3
annexation,17.133894322923712,3.4835067607597026e-5,60,9
north,17.117350287450172,3.513982068503729e-5,29,0
nation,17.098588957764843,3.548866193892053e-5,37,2
annex,17.038868772475368,3.662242273050342e-5,44,4
saw,17.038868772475368,3.662242273050342e-5,44,4
unlawful,17.038868772475368,3.662242273050342e-5,44,4
strikes,16.950870577762014,3.8359724917502724e-5,108,27
holding,16.85117323039654,4.042833038775395e-5,47,5
per,16.845796720428503,4.054302109068875e-5,144,42
rights,16.75326364482258,4.25689799609108e-5,366,145
resistance,16.736498751863138,4.294678391603135e-5,40,3
disinformation,16.726263453416188,4.3179096091972013e-5,50,6
horrific,16.726263453416188,4.3179096091972013e-5,50,6
within,16.689706315355657,4.4019202375178423e-05,169,53
strongest,16.65158392313978,4.491278939100507e-5,53,7
recognized,16.53856057817673,4.767069804456625e-5,164,51
heat,16.527029783032255,4.796146563790238e-5,28,0
attempts,16.47926923394034,4.918493827443804e-5,73,14
speak,16.453167822550654,4.9866784888719096e-5,89,20
get,16.120511463359787,5.9436803999335375e-5,52,7
world,16.062784387026234,6.127651473175622e-5,742,337
according,16.021185116323114,6.263765505731822e-5,130,37
nations,15.974587571701704,6.419848677041706e-5,1106,529
occupiers,15.936714068155313,6.549587547333147e-5,27,0
strategy,15.841469837750628,6.887631690166707e-5,31,1
borders,15.665446207732337,7.559265874446108e-5,206,71
back,15.660139173077615,7.58050787013076e-5,82,18
total,15.591344125940683,7.861364477435018e-5,57,9
bucha,15.525558581600258,8.139723246758379e-5,71,14
camps,15.364195807703531,8.865232970267645e-5,34,2
candidate,15.346403142761057,8.949113785516882e-5,26,0
hospitals,15.295443376584892,9.193801543105895e-5,104,27
cynical,15.255466991844182,9.390455107938234e-5,30,1
democracy,15.255466991844182,9.390455107938234e-5,30,1
veto,15.205710649787152,9.641142584382312e-5,62,11
told,15.111068160593733,1.0136722445497348e-4,47,6
behalf,15.052766155270398,1.0454692486694395e-4,70,14
full,15.049221351917405,1.0474345897137916e-4,217,77
now,15.017437031515387,1.0652237191299818e-4,591,262
attempt,14.925936665841762,1.1181511090807561e-4,67,13
happened,14.80729340766714,1.1907409347555742e-4,40,4
aggressive,14.7560970067912,1.2235124610793235e-4,25,0
senseless,14.57667694027522,1.3456984907167513e-4,46,6
states,14.561020109838338,1.3569268762481101e-4,369,151
destroy,14.540031300154466,1.3721272517630556e-4,49,7
million,14.531288619666388,1.3785092875895355e-4,383,158
three,14.45004610164853,1.439263335217822e-4,97,25
blocked,14.165795660187452,1.6738586330466987e-4,24,0
tried,14.165795660187452,1.6738586330466987e-4,24,0
unconscionable,14.165795660187452,1.6738586330466987e-4,24,0
republic,14.1158017011108,1.7189370113557256e-4,68,14
barbaric,14.08436928062263,1.7479029447697858e-4,28,1
navigation,14.08436928062263,1.7479029447697858e-4,28,1
referendums,13.876871629770255,1.9518570625909337e-4,78,18
perpetrators,13.822529289214831,2.0091260454879745e-4,93,24
think,13.700808428569955,2.1436219100701148e-4,38,4
